Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Tue, Jan 2, 2024",10:00p,Orlando Magic,115,Golden State Warriors,121,Box Score,,"18,064",2:33,Chase Center,,https://www.basketball-reference.com/boxscores/202401020GSW.html,.563,.642,.522,.622,.391,.449,.250,.474,53.2,46.8,46.3,54.8,8.3,9.4,9.3,10.7,15.0,11.3,118.9,125.7,125.1,119.5
"Tue, Jan 2, 2024",10:00p,Charlotte Hornets,111,Sacramento Kings,104,Box Score,,"17,832",2:10,Golden 1 Center,,https://www.basketball-reference.com/boxscores/202401020SAC.html,.614,.523,.585,.511,.415,.391,.232,.185,42.2,57.8,54.8,57.5,8.0,8.0,17.9,4.2,14.2,17.4,110.7,103.7,103.7,110.7
"Wed, Jan 3, 2024",7:00p,Washington Wizards,101,Cleveland Cavaliers,140,Box Score,,"19,432",1:57,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202401030CLE.html,.477,.648,.475,.634,.347,.416,.109,.158,36.7,63.3,52.4,68.5,8.3,5.1,8.5,12.1,7.0,9.2,104.3,142.3,144.5,102.7
"Wed, Jan 3, 2024",7:00p,Milwaukee Bucks,130,Indiana Pacers,142,Box Score,,"17,274",2:35,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202401030IND.html,.613,.676,.576,.633,.402,.389,.348,.378,48.8,51.2,65.2,68.0,5.6,6.5,7.3,9.1,10.9,9.5,121.9,132.6,133.2,121.4
"Wed, Jan 3, 2024",7:30p,Oklahoma City Thunder,138,Atlanta Hawks,141,Box Score,,"17,770",2:27,State Farm Arena,,https://www.basketball-reference.com/boxscores/202401030ATL.html,.674,.644,.648,.579,.396,.411,.286,.347,43.0,57.0,60.0,62.5,9.7,7.7,1.8,9.1,11.3,10.6,133.4,135.0,136.3,132.1
"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,101,Houston Rockets,112,Box Score,,"16,563",2:15,Toyota Center,,https://www.basketball-reference.com/boxscores/202401030HOU.html,.484,.637,.457,.612,.473,.513,.280,.355,51.0,49.0,69.4,73.0,11.3,5.2,16.2,8.2,8.7,15.4,103.5,115.9,114.7,104.5
"Wed, Jan 3, 2024",8:00p,Toronto Raptors,116,Memphis Grizzlies,111,Box Score,,"16,385",2:13,FedEx Forum,,https://www.basketball-reference.com/boxscores/202401030MEM.html,.599,.542,.553,.505,.306,.447,.318,.202,51.7,48.3,61.0,62.5,5.0,7.0,11.5,8.5,11.0,8.9,115.7,110.7,110.7,115.7
"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,117,Minnesota Timberwolves,106,Box Score,,"18,024",2:11,Target Center,,https://www.basketball-reference.com/boxscores/202401030MIN.html,.661,.565,.630,.512,.321,.378,.210,.329,59.4,40.6,66.7,70.3,7.6,7.6,9.8,10.9,13.7,12.2,127.2,115.2,115.2,127.2
"Wed, Jan 3, 2024",8:30p,Portland Trail Blazers,97,Dallas Mavericks,126,Box Score,,"20,077",2:22,American Airlines Center,,https://www.basketball-reference.com/boxscores/202401030DAL.html,.502,.617,.466,.577,.460,.357,.253,.488,51.7,48.3,67.6,59.5,3.8,11.4,5.6,14.9,18.5,10.5,92.6,119.7,120.3,92.1
"Wed, Jan 3, 2024",8:30p,Chicago Bulls,100,New York Knicks,116,Box Score,,"19,812",2:13,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202401030NYK.html,.521,.618,.489,.601,.360,.427,.180,.124,42.9,57.1,64.9,63.0,9.6,6.4,13.7,12.3,10.3,14.6,106.4,122.8,123.4,105.8
"Wed, Jan 3, 2024",9:00p,Los Angeles Clippers,131,Phoenix Suns,122,Box Score,,"17,071",2:28,Footprint Center,,https://www.basketball-reference.com/boxscores/202401030PHO.html,.727,.674,.671,.627,.447,.443,.421,.329,52.9,47.1,59.5,54.8,9.7,9.7,11.4,4.8,13.5,15.8,141.0,132.0,131.3,141.7
"Wed, Jan 3, 2024",9:00p,Detroit Pistons,148,Utah Jazz,154,Box Score,OT,"18,206",2:43,Delta Center,,https://www.basketball-reference.com/boxscores/202401030UTA.html,.645,.650,.624,.592,.390,.311,.210,.340,52.7,47.3,58.9,52.8,4.5,9.8,4.2,12.5,12.9,9.2,132.3,137.7,137.7,132.3
"Wed, Jan 3, 2024",10:00p,Miami Heat,110,Los Angeles Lakers,96,Box Score,,"18,997",2:14,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202401030LAL.html,.547,.513,.527,.446,.452,.361,.183,.289,43.8,56.2,73.2,82.9,13.7,3.0,5.7,11.8,9.1,19.0,107.8,94.6,94.1,108.4
"Wed, Jan 3, 2024",10:00p,Orlando Magic,135,Sacramento Kings,138,Box Score,2OT,"17,832",2:59,Golden 1 Center,,https://www.basketball-reference.com/boxscores/202401030SAC.html,.663,.582,.628,.557,.489,.381,.300,.295,40.2,59.8,75.0,70.6,8.8,7.8,10.8,6.5,17.1,15.0,118.4,119.4,121.0,116.8
"Thu, Jan 4, 2024",7:30p,Milwaukee Bucks,125,San Antonio Spurs,121,Box Score,,"19,082",2:16,Frost Bank Center,,https://www.basketball-reference.com/boxscores/202401040SAS.html,.623,.590,.598,.558,.370,.421,.207,.179,50.0,50.0,55.1,67.4,4.9,9.7,9.1,13.8,12.2,10.5,121.8,117.3,117.9,121.2
"Thu, Jan 4, 2024",10:00p,Denver Nuggets,130,Golden State Warriors,127,Box Score,,"18,064",2:22,Chase Center,,https://www.basketball-reference.com/boxscores/202401040GSW.html,.665,.654,.618,.628,.306,.400,.341,.178,52.2,47.8,58.3,71.4,7.5,4.3,7.4,5.1,8.4,9.3,139.8,136.6,136.6,139.8
"Fri, Jan 5, 2024",7:00p,Utah Jazz,97,Boston Celtics,126,Box Score,,"19,156",2:10,TD Garden,,https://www.basketball-reference.com/boxscores/202401050BOS.html,.445,.595,.394,.528,.362,.544,.362,.400,50.4,49.6,67.6,61.5,10.2,8.3,4.9,13.3,14.2,11.7,89.9,115.7,116.7,89.0
"Fri, Jan 5, 2024",7:00p,Atlanta Hawks,116,Indiana Pacers,150,Box Score,,"17,274",2:03,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202401050IND.html,.546,.752,.484,.739,.452,.415,.323,.138,50.0,50.0,52.5,83.3,5.8,11.6,5.5,5.9,11.6,13.8,112.8,144.4,145.8,111.7
"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,115,Brooklyn Nets,124,Box Score,,"18,147",2:22,Barclays Center,,https://www.basketball-reference.com/boxscores/202401050BRK.html,.608,.588,.589,.527,.369,.429,.286,.363,41.4,58.6,64.4,61.0,8.2,9.2,9.6,5.7,12.1,12.4,117.2,126.4,126.4,117.2
"Fri, Jan 5, 2024",7:30p,Washington Wizards,90,Cleveland Cavaliers,114,Box Score,,"19,432",2:05,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202401050CLE.html,.497,.654,.470,.636,.357,.429,.179,.299,37.3,62.7,54.3,75.6,12.3,9.2,18.2,1.9,15.8,21.6,92.0,116.6,116.6,92.0
"Fri, Jan 5, 2024",7:30p,New York Knicks,128,Philadelphia 76ers,92,Box Score,,"20,461",2:21,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202401050PHI.html,.640,.495,.584,.444,.461,.284,.281,.333,56.3,43.7,62.8,66.7,7.1,8.2,12.1,18.8,11.5,13.1,130.1,94.5,93.5,131.4
"Fri, Jan 5, 2024",8:00p,Charlotte Hornets,91,Chicago Bulls,104,Box Score,,"21,345",2:06,United Center,,https://www.basketball-reference.com/boxscores/202401050CHI.html,.483,.638,.461,.608,.382,.378,.135,.230,50.6,49.4,55.6,72.5,7.6,7.7,2.2,10.9,12.1,15.5,99.2,114.0,113.4,99.8
"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,122,Houston Rockets,95,Box Score,,"18,055",2:04,Toyota Center,,https://www.basketball-reference.com/boxscores/202401050HOU.html,.630,.492,.602,.467,.375,.356,.227,.167,57.8,42.2,67.4,50.0,11.8,6.9,12.1,3.6,12.6,13.4,120.3,93.7,93.7,120.3
"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,111,New Orleans Pelicans,95,Box Score,,"18,329",1:58,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202401050NOP.html,.611,.465,.579,.424,.439,.315,.244,.250,53.8,46.2,70.0,66.7,6.4,9.7,11.1,10.9,14.2,8.1,118.5,102.0,101.4,119.2
"Fri, Jan 5, 2024",8:30p,Portland Trail Blazers,103,Dallas Mavericks,139,Box Score,,"20,162",2:05,American Airlines Center,,https://www.basketball-reference.com/boxscores/202401050DAL.html,.503,.677,.479,.672,.421,.396,.179,.156,44.7,55.3,69.2,62.5,8.3,10.1,5.2,14.5,15.6,14.2,94.5,128.1,127.5,94.9
"Fri, Jan 5, 2024",9:00p,Orlando Magic,122,Denver Nuggets,120,Box Score,,"19,659",2:15,Ball Arena,,https://www.basketball-reference.com/boxscores/202401050DEN.html,.629,.580,.604,.553,.439,.347,.415,.200,51.3,48.7,61.0,58.3,8.9,8.0,4.8,2.2,13.4,11.2,120.7,119.3,118.7,121.3
"Fri, Jan 5, 2024",9:00p,Miami Heat,97,Phoenix Suns,113,Box Score,,"17,071",2:07,Footprint Center,,https://www.basketball-reference.com/boxscores/202401050PHO.html,.523,.598,.470,.586,.446,.402,.265,.195,50.0,50.0,76.5,68.2,5.3,13.7,3.8,10.9,14.7,10.4,103.1,119.4,120.1,102.5
"Fri, Jan 5, 2024",10:00p,Detroit Pistons,109,Golden State Warriors,113,Box Score,,"18,064",2:19,Chase Center,,https://www.basketball-reference.com/boxscores/202401050GSW.html,.532,.608,.515,.561,.449,.463,.102,.305,47.1,52.9,56.8,63.2,8.0,3.0,20.5,9.3,9.7,17.0,109.0,111.3,113.0,107.4
"Fri, Jan 5, 2024",10:00p,Memphis Grizzlies,127,Los Angeles Lakers,113,Box Score,,"18,997",2:15,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202401050LAL.html,.699,.583,.677,.553,.549,.329,.244,.318,55.7,44.3,75.0,61.9,7.9,12.9,7.0,8.1,17.3,12.6,125.5,112.2,111.7,126.1
