date,arena,team,opponent,home,win,points,opponent_points,true_shooting,opponent_true_shooting,effective_field_goal,opponent_effective_field_goal,3pt_attempted,opponent_3pt_attempted,free_throws_attempted,opponent_free_throws_attempted,rebounds,opponent_rebounds,assists,opponent_assists,steals,opponent_steals,blocks,opponent_blocks,turnovers,opponent_turnovers,offensive_rating,opponent_offensive_rating,defensive_rating,opponent_defensive_rating,team_code,opponent_code,arena_code,weighted_points,weighted_opponent_points,weighted_true_shooting,weighted_opponent_true_shooting,weighted_effective_field_goal,weighted_opponent_effective_field_goal,weighted_3pt_attempted,weighted_opponent_3pt_attempted,weighted_free_throws_attempted,weighted_opponent_free_throws_attempted,weighted_rebounds,weighted_opponent_rebounds,weighted_assists,weighted_opponent_assists,weighted_steals,weighted_opponent_steals,weighted_blocks,weighted_opponent_blocks,weighted_turnovers,weighted_opponent_turnovers,weighted_offensive_rating,weighted_opponent_offensive_rating,weighted_defensive_rating,weighted_opponent_defensive_rating
2024-03-13,Smoothie King Center,Cleveland Cavaliers,New Orleans Pelicans,0,1,116,95,0.622,0.519,0.62,0.463,0.489,0.275,0.033,0.325,51.7,48.3,80.9,62.9,4.2,7.4,6.9,12.8,11.4,11.6,121.9,100.9,99.8,123.2,5,18,24,107.46395901898384,114.12677747970157,0.5794081126000158,0.6113917738036306,0.5491260840721486,0.583966003727292,0.4800302918571181,0.3882515986867406,0.25156240500714444,0.22831225391716925,46.831201817995755,53.16879818473931,72.29596658732076,62.1927491777686,8.543905589337673,7.619231387970275,5.838846646713803,12.147720050629232,12.033250694531768,12.794175314781963,113.83982764242914,120.93716198835625,121.32529734167262,113.59454871666163
2024-03-16,Toyota Center,Cleveland Cavaliers,Houston Rockets,0,0,103,117,0.567,0.566,0.524,0.556,0.463,0.429,0.244,0.122,48.4,51.6,59.5,59.6,6.1,9.1,12.5,15.9,15.0,8.8,104.1,118.2,118.2,104.1,5,10,30,110.8226294324502,106.60097696294008,0.5961667144368814,0.5750384435171363,0.5770127970158626,0.5363695900435149,0.483559597002668,0.3436905668649789,0.16556479969736268,0.2663559175822532,48.7469246266613,51.25307537499759,75.68138993801813,62.47103069220968,6.834711922830366,7.532970558375325,6.256377956575052,12.404372211990825,11.784085961517833,12.324303941487242,117.01125834256501,113.05315307956657,112.85575279715523,117.37399929627921
2024-03-18,Gainbridge Fieldhouse,Cleveland Cavaliers,Indiana Pacers,0,1,108,103,0.585,0.525,0.55,0.511,0.4,0.418,0.35,0.176,46.4,53.6,71.1,66.7,8.6,8.6,7.5,6.3,13.2,10.1,115.6,110.3,110.3,115.6,5,11,12,107.74466459035145,110.69267369696519,0.5846905065490516,0.5714820931092239,0.556153886747243,0.5440935544986637,0.4754700259334541,0.37725721324090494,0.1964266462157489,0.2095562899245864,48.610420422679425,51.389579578326725,69.31450911417348,61.341368139801155,6.5456253072530375,8.149548598982268,8.713051803005133,13.779794571628987,13.049449536660296,10.937598394658087,111.93107404023618,115.07827954190957,114.95855021839115,112.15108755019725
2024-03-20,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Miami Heat,1,0,104,107,0.614,0.586,0.567,0.536,0.56,0.434,0.293,0.229,50.0,50.0,85.7,50.0,3.4,7.9,4.3,6.1,12.4,8.1,117.3,120.6,120.6,117.3,5,15,22,107.84513124553787,107.6658424523743,0.5848122827330196,0.5531928145983617,0.5537325209886022,0.5310722554423105,0.44577488461794745,0.39328825066847495,0.2568530524149566,0.19635291866546775,47.740687757210026,52.25931224340023,70.01704503510874,63.44982548267646,7.353958762311248,8.326787414572236,8.235753110342301,10.836724736045099,13.108686528150526,10.60802910688621,113.37468391718764,113.19817304284578,113.12555353726522,113.50812885653002
2024-03-22,Target Center,Cleveland Cavaliers,Minnesota Timberwolves,0,0,91,104,0.509,0.565,0.463,0.565,0.358,0.318,0.235,0.188,47.1,52.9,64.7,65.9,6.8,10.1,8.6,9.6,11.8,11.5,102.6,116.6,117.3,102.0,5,17,29,106.33218999103774,107.40385386190326,0.5962967545905525,0.5661014361950297,0.5589528672024933,0.5330111718425293,0.4907189654115721,0.4093070758198948,0.27107576803464567,0.20919854422047415,48.62965785488377,51.37034214548637,76.187806978901,58.15773152302754,5.798197216581188,8.158859652117547,6.687154930481963,8.972968779030582,12.829840107448595,9.62119654877818,114.91917544671121,116.1105650125985,116.06651905597072,115.00011389380586
2024-03-24,Kaseya Center,Cleveland Cavaliers,Miami Heat,0,0,84,121,0.52,0.65,0.479,0.608,0.403,0.458,0.278,0.277,40.5,59.5,80.0,67.4,3.3,14.0,6.7,0.0,17.4,11.4,92.0,130.4,132.5,90.5,5,15,14,100.29944331010356,106.0645417284256,0.5619481581525798,0.5656680548220027,0.5211983558456469,0.5455977949542153,0.43849812164745905,0.3733805409334722,0.25688105938569356,0.20085756701099164,48.02778438785727,51.97221561236724,71.66770714556421,61.20407679298958,6.192375896871035,8.922638864204046,7.439800818057168,9.219686339885001,12.424629599769325,10.360448103260058,110.07195761080943,116.30314267420493,116.55185598927496,109.88496765634945
2024-03-25,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Charlotte Hornets,1,1,115,92,0.636,0.523,0.634,0.481,0.477,0.35,0.116,0.225,58.8,41.3,89.1,64.7,4.3,5.4,5.8,8.9,13.4,12.0,124.5,100.1,99.6,125.1,5,3,22,93.88611210382577,111.94118664143147,0.5454428440380141,0.5988500896563397,0.5045945966098487,0.5701511494060572,0.4245306991413926,0.4066757036678528,0.26519071501677277,0.2308172798870518,45.06583203094153,54.93416796919464,74.9462089180802,63.64198260972316,5.054314660866109,10.920424800706396,7.14871187823216,5.592022438074003,14.382285308833382,10.769479902264802,102.961196371983,121.84982382631065,122.82696169198286,102.25757722111369
2024-03-27,Spectrum Center,Cleveland Cavaliers,Charlotte Hornets,0,0,111,118,0.609,0.689,0.606,0.664,0.518,0.434,0.165,0.289,45.7,54.3,78.6,68.2,7.5,8.7,2.3,4.9,14.1,15.7,119.4,127.6,126.9,120.0,5,3,25,102.19377964523486,104.09494108908017,0.5810743084526768,0.5690054049185221,0.5555116553113921,0.5350729054633954,0.4451757603355682,0.38437555193534045,0.2064887428021227,0.22852835860762655,50.46980604112284,49.56954089298848,80.5152917576484,64.05828001428794,4.757514968886032,8.748306896266433,6.618035105266416,6.893610187050436,13.995786156392738,11.253651833331018,111.43605522607797,113.29193499400574,113.68786439815842,111.2453702424872
2024-03-29,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Philadelphia 76ers,1,1,117,114,0.667,0.562,0.646,0.532,0.451,0.426,0.159,0.181,46.8,53.2,75.6,66.7,4.3,6.5,5.6,15.6,13.8,8.1,125.8,123.2,122.5,126.4,5,22,22,105.65875735864947,109.56615544541675,0.5920622118828706,0.6162195990832808,0.5753772709882198,0.5858017642958802,0.47382986587326126,0.40390125077746675,0.19016419454241926,0.25232209545237794,48.593033604823546,51.43083151708067,79.76168317330865,65.68791984472107,5.836598744826423,8.72929961366115,4.91902068105955,6.109185701961528,14.036791108685698,13.003153513158203,114.56962332235808,118.92171989270307,118.88643467720226,114.69004863763591
2024-03-31,Ball Arena,Cleveland Cavaliers,Denver Nuggets,0,0,101,130,0.553,0.701,0.512,0.695,0.305,0.379,0.256,0.149,35.4,64.6,68.4,72.0,10.3,7.2,7.4,7.0,14.1,15.5,104.0,133.2,133.8,103.5,5,7,2,110.12118861878062,111.31073733724537,0.621547933935912,0.5948858492013369,0.6031651495817785,0.5646324195920838,0.4648470136092601,0.41259643105523286,0.1779020394752264,0.2242590376068182,47.88752985522055,52.12694507291214,78.12418844062186,66.08614235573661,5.231994250413175,7.852138565371016,5.186965164432388,9.843530142600633,13.943621067365225,11.073912935008162,118.98843222488848,120.60509194408576,120.30826184084879,119.29755547498247
