date,arena,team,opponent,home,win,points,opponent_points,true_shooting,opponent_true_shooting,effective_field_goal,opponent_effective_field_goal,3pt_attempted,opponent_3pt_attempted,free_throws_attempted,opponent_free_throws_attempted,rebounds,opponent_rebounds,assists,opponent_assists,steals,opponent_steals,blocks,opponent_blocks,turnovers,opponent_turnovers,offensive_rating,opponent_offensive_rating,defensive_rating,opponent_defensive_rating,team_code,opponent_code,arena_code,weighted_points,weighted_opponent_points,weighted_true_shooting,weighted_opponent_true_shooting,weighted_effective_field_goal,weighted_opponent_effective_field_goal,weighted_3pt_attempted,weighted_opponent_3pt_attempted,weighted_free_throws_attempted,weighted_opponent_free_throws_attempted,weighted_rebounds,weighted_opponent_rebounds,weighted_assists,weighted_opponent_assists,weighted_steals,weighted_opponent_steals,weighted_blocks,weighted_opponent_blocks,weighted_turnovers,weighted_opponent_turnovers,weighted_offensive_rating,weighted_opponent_offensive_rating,weighted_defensive_rating,weighted_opponent_defensive_rating
2023-10-27,TD Garden,Miami Heat,Boston Celtics,0,0,111,119,0.56,0.576,0.517,0.558,0.371,0.411,0.258,0.2,45.0,55.0,63.2,44.4,8.1,7.0,10.7,10.7,10.8,12.7,111.7,119.8,119.8,111.7,15,1,28,103.0,102.0,0.498,0.517,0.44600000000000006,0.505,0.239,0.348,0.283,0.163,46.2,53.8,59.49999999999999,68.3,11.7,3.2,5.0,18.6,6.3,14.699999999999998,110.00000000000001,108.3,108.9,109.4
2023-10-28,Target Center,Miami Heat,Minnesota Timberwolves,0,0,90,106,0.483,0.592,0.471,0.581,0.437,0.395,0.161,0.093,47.2,52.8,68.6,68.2,6.2,9.3,1.9,6.1,13.9,15.2,93.4,109.4,110.0,92.9,15,17,29,107.19983349983153,110.92464618714197,0.5305487096236943,0.5479737720612574,0.48327352231100473,0.5328238969363839,0.3082972527472201,0.38107368881117315,0.26987552031302653,0.18242422993672078,45.57002497502527,54.429975024974716,61.44242299367208,55.75299741925333,9.810074925075815,5.194920912419971,7.992381368629957,14.452664418916374,8.66240634365523,13.65004162504212,110.8924646187142,114.33726065600781,114.62227314352045,110.60745213120157
2023-10-30,Fiserv Forum,Miami Heat,Milwaukee Bucks,0,0,114,122,0.601,0.609,0.552,0.575,0.395,0.425,0.233,0.345,48.2,51.8,65.9,54.5,6.9,7.8,4.0,9.6,13.7,13.0,111.8,119.7,119.7,111.8,15,16,9,100.88464973382473,109.1164864945106,0.5130904685824036,0.5641386797017869,0.4787671095686407,0.5505124951416978,0.35555244856636503,0.3861869484448143,0.22990019622613334,0.14959074668296904,46.1684954088709,53.831504591129075,64.0704376261828,60.323106114441906,8.48458031716986,6.702163922203365,5.755469719696207,11.385855037199985,10.585469519343096,14.219132713488765,104.46983683056531,112.52446936685551,112.92513437073549,104.1058883667964
2023-11-01,Kaseya Center,Miami Heat,Brooklyn Nets,1,0,105,109,0.531,0.583,0.5,0.549,0.418,0.439,0.198,0.317,49.5,50.5,56.4,73.0,9.7,10.8,10.9,7.5,15.4,16.2,101.7,106.6,105.5,102.7,15,2,14,104.67041401728774,112.83533077123448,0.5384656783528216,0.5770879628430824,0.49990588629539073,0.5575808478278454,0.3669390397177027,0.39739039031466533,0.2307949589411722,0.20599590223368883,46.75489206368403,53.24510793631596,64.59854337620826,58.642258352127584,8.027188982034017,7.019055848691855,5.2487509183946255,10.870365471304783,11.484483118990271,13.867228342666879,106.58569872945569,114.59569636686265,114.88070885437529,106.32680450115855
2023-11-03,Kaseya Center,Miami Heat,Washington Wizards,1,1,121,114,0.702,0.644,0.681,0.648,0.338,0.346,0.175,0.21,55.2,44.8,72.9,71.7,8.9,7.0,1.9,7.5,19.6,18.4,119.4,113.6,112.5,120.6,15,29,14,104.75012608092948,111.90773631467466,0.5366600656775146,0.5785178194110904,0.4999286481784952,0.5555055256842143,0.3792883953612147,0.4074538882463733,0.22286332958990596,0.2328428137219284,47.41881052502849,52.5811894749715,62.61568352884543,62.11475195324603,8.431766923205432,7.933496621732878,6.615534550213846,10.055225261961995,12.431470998270877,14.431421155967714,105.40406738442161,112.66189611112878,112.61193621103968,105.44964319462072
2023-11-06,Kaseya Center,Miami Heat,Los Angeles Lakers,1,1,108,107,0.568,0.614,0.534,0.593,0.42,0.321,0.182,0.173,53.7,46.3,73.2,63.6,11.1,6.1,7.3,9.8,15.9,16.3,109.0,108.5,108.0,109.5,15,13,14,108.17747501639789,112.34902698254892,0.5715328068884815,0.5923290208426388,0.5381193878728471,0.5750140363140034,0.3705800362322011,0.3944923157744529,0.2127682154656408,0.22802491213802292,49.05998334867875,50.94001665132125,64.78480442695071,64.13642854303718,8.530524497897726,7.736607792398346,5.6209556137045125,9.51628886005,13.943424282666333,15.268455618152299,108.35602534974433,112.8597566841335,112.5883271383996,108.645087019446
2023-11-08,FedEx Forum,Miami Heat,Memphis Grizzlies,0,1,108,102,0.593,0.498,0.526,0.45,0.364,0.411,0.416,0.311,53.7,46.3,62.9,57.1,9.2,10.2,15.1,8.2,17.3,12.0,110.7,104.0,104.5,110.1,15,14,8,108.14392617302535,111.3378780779016,0.5708649856515962,0.5964255765169866,0.5373406827832978,0.5784139981275173,0.3799220983295786,0.38059975646641936,0.20695197122766348,0.21762332324752087,49.937105070037695,50.062894929962305,66.37556398263105,64.0350252157623,9.016243180556296,7.427232987967603,5.93835238466787,9.569919961432104,14.313283959930239,15.463452759726515,108.47775856671089,112.03561367455949,111.72097650149077,108.80669478973323
2023-11-11,State Farm Arena,Miami Heat,Atlanta Hawks,0,1,117,109,0.616,0.574,0.56,0.54,0.452,0.529,0.298,0.207,44.8,55.2,56.1,60.5,10.0,6.0,9.8,13.0,13.6,18.8,117.3,108.8,109.3,116.8,15,0,26,108.1190539982698,109.72418037082322,0.57469018251133,0.5794164524078161,0.5353808763206905,0.5562225138731296,0.37717056812625305,0.38585328439594535,0.24307798635496594,0.2337599367171988,50.58737859789913,49.412621402100854,65.7749447003073,62.83656940001434,9.047998570348552,7.906400496072913,7.521595346996635,9.333181306011504,14.829424434816149,14.864926442471258,108.86178862959635,110.64696292827361,110.47310486233341,109.03019349414433
2023-11-12,Frost Bank Center,Miami Heat,San Antonio Spurs,0,1,118,113,0.577,0.587,0.506,0.566,0.348,0.484,0.337,0.132,45.1,54.9,66.7,83.3,7.2,3.1,6.4,10.3,6.4,15.0,121.0,117.7,115.9,122.9,15,26,11,109.54320388490761,109.60805069355546,0.5813146312898787,0.5785478692545047,0.5393288028355213,0.5536210690170414,0.3891702274980595,0.4088083140471079,0.2518852890332231,0.22946870908955536,49.65931366286603,50.340686337133945,64.22346905846854,62.461876766425135,9.200661668159642,7.60068981504416,7.886960672679018,9.921192923957133,14.632273740607213,15.495955452193218,110.21494152166945,110.3507836648919,110.28498558355602,110.2761608778393
2023-11-14,Spectrum Center,Miami Heat,Charlotte Hornets,0,1,111,105,0.582,0.579,0.53,0.537,0.373,0.395,0.337,0.272,48.3,51.7,65.0,58.3,13.0,6.5,10.2,0.0,7.7,16.6,119.9,114.0,113.4,120.6,15,3,25,110.81633215484881,110.11869166130153,0.5806650851739785,0.5798202951764357,0.5343113186115049,0.5554846550337279,0.3829722560920624,0.4201280455090412,0.2646988821771194,0.21479528344610993,48.97293184205274,51.027068157947234,64.59629837942389,65.59895177924665,8.899472081269158,6.923133520699644,7.663106196005526,9.978220430686692,13.39294618884596,15.421291844578061,111.8385780212212,111.45717135011014,111.13029786168276,112.17661658741115
